movie_category,movie_name,movie_rating,movie_release_year,movie_url
Documentary,For Your Consideration,6.3,2006,https://yts.mx/movies/for-your-consideration-2006
Documentary,Ski People,,1980,https://yts.mx/movies/ski-people-1980
Documentary, 100 Yards,5.6,2023,https://yts.mx/movies/100-yards-2023
Documentary,Assassin's Guild,3.8,2024,https://yts.mx/movies/assassins-guild-2024
Documentary, Nero and Poppea - An Orgy of Power,3.9,1982,https://yts.mx/movies/nero-and-poppea-an-orgy-of-power-1982
Documentary,Swimming Home,5.7,2024,https://yts.mx/movies/swimming-home-2024
Documentary, Selina's Gold,5.7,2022,https://yts.mx/movies/selinas-gold-2022
Documentary, Every Blessed Day,6.8,2012,https://yts.mx/movies/every-blessed-day-2012
Documentary,The Wrong Roommate,4.7,2016,https://yts.mx/movies/the-wrong-roommate-2016
Documentary, Double Feature,5.9,1984,https://yts.mx/movies/double-feature-1984
Documentary,Falling Stars,5.8,2023,https://yts.mx/movies/falling-stars-2023
Documentary,Frank Capra: Mr America,6.8,2023,https://yts.mx/movies/frank-capra-mr-america-2023
Documentary,For Better or for Worse: The Bestest Present,7.6,1985,https://yts.mx/movies/for-better-or-for-worse-the-bestest-present-1985
Documentary,Here Now,5.0,2024,https://yts.mx/movies/here-now-2024
Documentary,Ultrasuede: In Search of Halston,5.4,2010,https://yts.mx/movies/ultrasuede-in-search-of-halston-2010
Documentary,Garbo,8.1,2005,https://yts.mx/movies/garbo-2005
Documentary,The Bayou,5.0,2025,https://yts.mx/movies/the-bayou-2025
Documentary, Gone Running,7.2,2024,https://yts.mx/movies/gone-running-2024
Documentary,Flesh Freaks,2.7,2000,https://yts.mx/movies/flesh-freaks-2000
Documentary,Accused,6.3,2023,https://yts.mx/movies/accused-2023
Documentary,Shadow Land,3.7,2024,https://yts.mx/movies/shadow-land-2024
Documentary,Lyfe's Journey,7.0,2014,https://yts.mx/movies/lyfes-journey-2014
Documentary, Nionde kompaniet,5.9,1987,https://yts.mx/movies/nionde-kompaniet-1987
Documentary,The Brutalist,7.9,2024,https://yts.mx/movies/the-brutalist-2024
Documentary, Pecados de mi padre,7.2,2009,https://yts.mx/movies/pecados-de-mi-padre-2009
Documentary,Aberdeen,7.6,2024,https://yts.mx/movies/aberdeen-2024
Documentary,Racing with the Moon,6.6,1984,https://yts.mx/movies/racing-with-the-moon-1984
Documentary, Jeon Woochi,6.6,2009,https://yts.mx/movies/jeon-woochi-2009
Documentary,Ismo - maailman hauskin ulkopuolinen,7.5,2024,https://yts.mx/movies/ismo-maailman-hauskin-ulkopuolinen-2024
Documentary,Virtually Heroes,5.2,2013,https://yts.mx/movies/virtually-heroes-2013
Documentary,Jack Squad,5.3,2009,https://yts.mx/movies/jack-squad-2009
Documentary,Every Second Counts: The Story of the 2008 CrossFit Games,6.0,2009,https://yts.mx/movies/every-second-counts-the-story-of-the-2008-crossfit-games-2009
Documentary, Daaku Maharaaj,6.3,2025,https://yts.mx/movies/daaku-maharaaj-2025
Documentary,Memes & Nightmares,,2024,https://yts.mx/movies/memes-nightmares-2024
Documentary," Wolves, Pigs and People",7.4,1964,https://yts.mx/movies/wolves-pigs-and-people-1964
Documentary, El fantasma del convento,6.9,1934,https://yts.mx/movies/el-fantasma-del-convento-1934
Documentary,Outside Bet,4.8,2012,https://yts.mx/movies/outside-bet-2012
Documentary,It's a Wonderful Afterlife,5.4,2010,https://yts.mx/movies/its-a-wonderful-afterlife-2010
Documentary,Breaking Point,4.8,2009,https://yts.mx/movies/breaking-point-2009
Documentary,Monogamy,5.0,2010,https://yts.mx/movies/monogamy-2010
Documentary,Girlfriends' Getaway,6.6,2014,https://yts.mx/movies/girlfriends-getaway-2014
Documentary, The Lustful Vicar,4.3,1970,https://yts.mx/movies/the-lustful-vicar-1970
Documentary,I Am Slave,6.7,2010,https://yts.mx/movies/i-am-slave-2010
Documentary,The High Cost of Living,6.7,2010,https://yts.mx/movies/the-high-cost-of-living-2010
Documentary,Old Fashioned,5.0,2014,https://yts.mx/movies/old-fashioned-2014
