,movie_category,movie_name,movie_rating,movie_release_year,movie_url
483,Comedy,The Deadly Companions,6.1,1961,https://yts.mx/movies/the-deadly-companions-1961
484,Comedy,Troma's War,5.5,1988,https://yts.mx/movies/tromas-war-1988
485,Comedy, The Mehta Boys,7.3,2024,https://yts.mx/movies/the-mehta-boys-2024
486,Comedy,SNL50: The Anniversary Special,8.2,2025,https://yts.mx/movies/snl50-the-anniversary-special-2025
487,Comedy, Parthenope,6.8,2024,https://yts.mx/movies/parthenope-2024
488,Comedy,The Terrornauts,4.8,1967,https://yts.mx/movies/the-terrornauts-1967
489,Comedy,Courting a Killer,5.1,2013,https://yts.mx/movies/courting-a-killer-2013
490,Comedy, Domnul de la curte,6.0,2014,https://yts.mx/movies/domnul-de-la-curte-2014
491,Comedy,Mufasa: The Lion King,6.7,2024,https://yts.mx/movies/mufasa-the-lion-king-2024
492,Comedy,The Ceremony Is About to Begin,5.7,2024,https://yts.mx/movies/the-ceremony-is-about-to-begin-2024
493,Comedy,September 5,7.1,2024,https://yts.mx/movies/september-5-2024
494,Comedy,The Order,6.8,2024,https://yts.mx/movies/the-order-2024
498,Comedy, Hashtag Tadev lagnam,8.1,2024,https://yts.mx/movies/hashtag-tadev-lagnam-2024
501,Crime, Bardovi,7.8,2024,https://yts.mx/movies/bardovi-2024
502,Crime, Way Home,6.9,2024,https://yts.mx/movies/way-home-2024
503,Crime,A Trip Elsewhere,8.1,2024,https://yts.mx/movies/a-trip-elsewhere-2024
505,Crime,Born Bad,4.4,2011,https://yts.mx/movies/born-bad-2011
506,Crime,Return to Office,7.3,2025,https://yts.mx/movies/return-to-office-2025
507,Crime,Spider-Man 2,7.5,2004,https://yts.mx/movies/spider-man-2-2004
508,Crime, Ils sont fous ces sorciers,4.3,1978,https://yts.mx/movies/ils-sont-fous-ces-sorciers-1978
509,Crime,Prism,5.6,2017,https://yts.mx/movies/prism-2017
510,Crime, Partly Cloudy with Sunny Spells,5.3,2015,https://yts.mx/movies/partly-cloudy-with-sunny-spells-2015
511,Crime,Tooth Fairy Queen of Pain,3.0,2022,https://yts.mx/movies/tooth-fairy-queen-of-pain-2022
512,Crime, An Abandoned Team,7.5,2024,https://yts.mx/movies/an-abandoned-team-2024
513,Crime, All Is Well,6.4,2018,https://yts.mx/movies/all-is-well-2018
514,Crime,Outside the Law,6.3,1956,https://yts.mx/movies/outside-the-law-1956
515,Crime,Jaws vs. the Blob,5.9,2022,https://yts.mx/movies/jaws-vs-the-blob-2022
516,Crime,The Drop Spot,5.3,2022,https://yts.mx/movies/the-drop-spot-2022
517,Crime, Mother Schmuckers,4.9,2021,https://yts.mx/movies/mother-schmuckers-2021
518,Crime,The Love We Had,5.5,2022,https://yts.mx/movies/the-love-we-had-2022
519,Crime,The Foreign Exchange Student 2: The Hunt,2.7,2022,https://yts.mx/movies/the-foreign-exchange-student-2-the-hunt-2022
520,Thriller,The Ring Widow,7.4,2022,https://yts.mx/movies/the-ring-widow-2022
521,Thriller,Hunt Vs Lauda: The Next Generation,6.3,2022,https://yts.mx/movies/hunt-vs-lauda-the-next-generation-2022
523,Thriller,Love and the Radio Star,5.9,2022,https://yts.mx/movies/love-and-the-radio-star-2022
524,Thriller,Jack & Jill: The Hills of Hell,2.9,2022,https://yts.mx/movies/jack-jill-the-hills-of-hell-2022
525,Thriller,Boxed In,6.0,2022,https://yts.mx/movies/boxed-in-2022
526,Thriller,County Line: No Fear,6.7,2022,https://yts.mx/movies/county-line-no-fear-2022
527,Thriller,The Higher Spirit,7.7,2022,https://yts.mx/movies/the-higher-spirit-2022
528,Thriller, Dil Chahta Hai,8.0,2001,https://yts.mx/movies/dil-chahta-hai-2001
529,Thriller,The Lord of the Rings: The War of the Rohirrim,6.3,2024,https://yts.mx/movies/the-lord-of-the-rings-the-war-of-the-rohirrim-2024
